,coord,frequentadores
368,"[295968, 7383328]","[5120003101, 5120003101, 5120003104, 5120003105]"
369,"[295983, 7383120]","[5120011103, 5120011104, 5120011105]"
370,"[295991, 7352039]","[4750050103, 4750050102]"
371,"[296094, 7393005]",[5130005102]
372,"[296099, 7383073]","[5120706101, 5120706103]"
373,"[296104, 7396017]",[5150335101]
374,"[296157, 7393009]",[5130004102]
375,"[296159, 7352048]","[4750047101, 4750047102]"
376,"[296228, 7410266]",[5170452103]
377,"[296284, 7401168]","[5160056103, 5160056105]"
378,"[296292, 7384487]","[5121655102, 5121655101]"
379,"[296303, 7401019]","[5160056103, 5160056102, 5160056101, 5160056104, 5160056105]"
380,"[296308, 7401692]",[4890830104]
381,"[296315, 7393981]","[5130319103, 5130319102]"
382,"[296355, 7386121]",[5120311101]
383,"[296364, 7394097]","[5130338103, 5130338101]"
384,"[296366, 7394100]","[5130323103, 5130323104, 5130323102]"
385,"[296400, 7388409]","[5121125101, 5121125102]"
386,"[296407, 7394154]","[5130313101, 5130313102]"
387,"[296443, 7394059]","[5130002104, 5130002101, 5130002103]"
388,"[296455, 7383858]","[5121176101, 5121176105, 5121176104, 5121176103, 5121176103, 5121176102]"
389,"[296455, 7400864]",[5160056104]
390,"[296500, 7394478]",[5130320101]
391,"[296527, 7394496]","[5130320102, 5130302101, 5130320102, 5130006103, 5130006103, 5130320101]"
392,"[296540, 7384230]","[5121249103, 5121249102, 5121249101]"
393,"[296566, 7394447]","[5130331101, 5130331102, 5130331103]"
394,"[296610, 7396045]",[5150021101]
395,"[296679, 7384602]",[5120044101]
396,"[296690, 7395917]",[5150418101]
397,"[296708, 7383117]",[1090549101]
398,"[296720, 7383552]",[5110926102]
399,"[296779, 7384359]","[5121179104, 5121176105, 5121176104]"
400,"[296786, 7394575]","[5130322101, 5130322102]"
401,"[296818, 7395775]","[5150953107, 5150953101, 5150953103, 5150953108, 5150953106, 5150953105]"
402,"[296822, 7383589]","[5121179101, 5121179104, 5121179102, 5121179103, 5121179102]"
403,"[296822, 7384224]",[5121179103]
404,"[296822, 7384226]","[5121120102, 5121120103]"
405,"[296879, 7384389]","[5121249101, 5121249102, 5121249103]"
406,"[296883, 7384351]","[5080109102, 5110915102]"
407,"[296934, 7385082]","[5121120103, 5121120101, 5121120102]"
408,"[296973, 7383178]",[4970399101]
409,"[296994, 7394696]","[5130330102, 5130330103, 5130330102, 5130330101, 5130330105]"
410,"[297004, 7395215]","[5150304102, 5150304104]"
411,"[297025, 7347794]",[4680094101]
412,"[297031, 7396080]","[5150041105, 5150041106, 5150041101, 5150041102, 5150041102]"
413,"[297051, 7391506]","[5130534101, 5130534104]"
414,"[297058, 7394496]","[5130306103, 5130306102]"
415,"[297060, 7382097]","[5121176101, 5121176101, 5121176102]"
416,"[297092, 7394822]","[5130330102, 5130338103, 5130330102, 5130330103]"
417,"[297093, 7384188]",[681190101]
418,"[297102, 7384288]","[5120722101, 5121179102, 5121179102]"
419,"[297104, 7395621]",[5152071101]
420,"[297124, 7353032]",[4750046101]
421,"[297151, 7394906]",[5130338101]
422,"[297167, 7352478]","[4750035102, 4750003101, 4750035101, 4750035102]"
423,"[297196, 7395764]","[5130319102, 5130319103]"
424,"[297200, 7387265]","[5080086102, 5060649103]"
425,"[297220, 7387249]","[5080090101, 5080090104, 5080090103, 5080090102]"
426,"[297224, 7387277]","[4870049101, 4870049102, 5060031101]"
427,"[297346, 7409189]",[5170038101]
428,"[297363, 7353693]","[4750046102, 4750046103, 4750046101]"
429,"[297373, 7409187]","[5170046101, 5170046102, 5170046104]"
430,"[297401, 7393224]","[5130304101, 5130304103, 5130304104]"
431,"[297415, 7385506]",[5110351101]
432,"[297435, 7409298]",[5170332102]
433,"[297437, 7383093]","[5080109103, 5080109102, 5080109101]"
434,"[297440, 7409306]","[5170046102, 5170046101, 5170046104, 4760609101, 5170352104]"
435,"[297448, 7408913]","[5170037101, 5170037101]"
436,"[297456, 7395624]",[5030303101]
437,"[297476, 7409225]",[5170310104]
438,"[297478, 7409239]",[5170345102]
439,"[297484, 7386819]",[5080090103]
440,"[297484, 7408914]","[5170037101, 5170037101]"
441,"[297501, 7409090]","[5170045102, 5170045101]"
442,"[297506, 7385629]",[5110001101]
443,"[297529, 7409297]",[5170045101]
444,"[297534, 7409294]",[5170309101]
445,"[297608, 7396508]",[5150304104]
446,"[297624, 7355800]","[4751718103, 4750057101, 4751718101, 4751718102]"
447,"[297672, 7395726]",[520315101]
448,"[297703, 7395927]","[5150041102, 5150041102, 5150041105]"
449,"[297705, 7355809]","[4750039101, 4750039104]"
450,"[297754, 7409104]","[5170027101, 5170027103, 5170027102]"
451,"[297754, 7409955]","[5170385102, 5170385103, 5170385104]"
452,"[297761, 7409947]","[5170328102, 5170328101, 5170328101, 5170328102]"
453,"[297762, 7409171]","[5170352104, 5170352101]"
454,"[297767, 7409940]","[5170328101, 5170328102, 5170328101, 5170328103, 5170328102]"
455,"[297775, 7409432]","[5170310101, 5170310104]"
456,"[297800, 7409102]",[5170020101]
457,"[297803, 7395941]","[5150988101, 5150988102]"
458,"[297818, 7395588]","[5150080101, 5150080103, 5150080102]"
459,"[297819, 7408874]","[5170320106, 5170320107, 5170320101, 5170320103, 5170320102]"
460,"[297826, 7408970]",[5170013101]
461,"[297840, 7410356]","[5170452101, 5170452102, 5170452103, 5170452104]"
462,"[297842, 7385788]",[5081629102]
463,"[297866, 7395139]",[5130323103]
464,"[297872, 7408903]",[5170302103]
465,"[297875, 7355941]","[4700310101, 4750001104, 4750001105, 4751718103, 4750026105]"
466,"[297879, 7396212]","[5150016106, 5150016103, 5150953103]"
467,"[297887, 7396298]",[5130304104]
468,"[297906, 7387366]","[5080102101, 5080102102]"
469,"[297910, 7395209]",[5130320102]
470,"[297911, 7395207]",[5130322102]
471,"[297911, 7395208]",[5150541106]
472,"[297930, 7409454]","[5170388101, 5170388102]"
473,"[297950, 7395158]",[5130005102]
474,"[297957, 7409145]","[5170302103, 5170302101]"
475,"[297971, 7395733]",[5150016105]
476,"[298002, 7390002]","[5130024101, 5130018101, 5130024102, 5130026103, 5130026102, 5130024103, 5130024103, 5130026104, 5130018102, 5130024104, 5130026101]"
477,"[298026, 7409094]",[5170023102]
478,"[298027, 7409095]","[5170345102, 5170345103]"
479,"[298087, 7408849]","[5170346104, 5170346101, 5170346102, 5170346103, 5170346102]"
480,"[298108, 7396258]",[5150531101]
481,"[298209, 7384200]","[5080055104, 5080055103, 5080055105, 5080055101]"
482,"[298212, 7395784]",[5150016104]
483,"[298215, 7395774]","[5150016106, 5150016105, 5150016102, 5150016104, 5150016103]"
484,"[298224, 7408777]","[5170033102, 5170033101, 5170033101, 5170033103]"
485,"[298299, 7395297]","[5150541104, 5150541101, 5150541106]"
486,"[298300, 7409117]",[5170013101]
487,"[298323, 7396760]","[5150953107, 5150953105, 5150953106]"
488,"[298324, 7410050]","[5170391102, 5170391103]"
489,"[298329, 7409561]","[5171172101, 5171172101]"
490,"[298346, 7401498]",[4810046102]
491,"[298364, 7409353]","[5170332104, 5170332105, 5170332102]"
