,coord,frequentadores
198,"[293889, 7351342]","[4750018101, 4750037102, 4750018102, 4750037104, 4750037102, 4750018104, 4750037105, 4750018103, 4750018103]"
199,"[293889, 7378878]",[5110911103]
200,"[293890, 7379881]","[5110351101, 5110351103, 5110351103, 5110351102]"
201,"[293896, 7387688]","[5121125101, 5121125102]"
202,"[293901, 7378862]","[5130026102, 5110027101]"
203,"[293910, 7378879]",[5110920101]
204,"[293921, 7387225]",[5120693104]
205,"[293922, 7379643]",[5110327101]
206,"[293929, 7387783]","[5121228104, 5121171102]"
207,"[293930, 7387765]",[5082440102]
208,"[293962, 7387783]","[5121228104, 5121228102, 5121228101, 5121228103]"
209,"[293975, 7379025]",[5110911101]
210,"[293990, 7379030]","[5121120101, 5110918101]"
211,"[294007, 7379040]",[5110002103]
212,"[294009, 7388052]","[5120035101, 5120035101]"
213,"[294018, 7379159]","[5110040102, 5110040101]"
214,"[294022, 7387909]","[5080038101, 5080038102]"
215,"[294030, 7387459]",[5121599103]
216,"[294050, 7388942]",[5120005107]
217,"[294052, 7388939]",[5120311102]
218,"[294053, 7388935]",[5121228102]
219,"[294068, 7378927]",[5110911104]
220,"[294069, 7378927]",[5111336104]
221,"[294075, 7378162]",[820589101]
222,"[294086, 7388784]",[5120022101]
223,"[294092, 7379383]",[5110002103]
224,"[294123, 7379530]","[5110915102, 5110915101]"
225,"[294138, 7388173]","[5121660103, 5121660104, 5121660105]"
226,"[294141, 7387763]",[5110909102]
227,"[294146, 7378883]","[5110921101, 5110921101, 5121913103, 5121913101]"
228,"[294148, 7388199]",[5120536101]
229,"[294151, 7387724]","[5120633101, 5120633102, 5120633101]"
230,"[294154, 7375652]",[5110976102]
231,"[294155, 7389505]","[5120532103, 5120532102, 5120532101]"
232,"[294160, 7386258]","[5120568102, 5120568102, 5120568103, 5120568101, 5120568104]"
233,"[294173, 7388316]",[5121148102]
234,"[294177, 7387684]","[5120009102, 5120005103, 5120005102]"
235,"[294200, 7377637]","[5110920101, 5110920103]"
236,"[294205, 7388021]",[4650360103]
237,"[294212, 7389621]","[5120004101, 5120004103, 5120004101, 5120004102]"
238,"[294240, 7389033]",[5120309101]
239,"[294262, 7387669]","[5120026104, 5120026101]"
240,"[294274, 7387649]",[5120536101]
241,"[294301, 7389548]","[5120309102, 5120309101]"
242,"[294306, 7371985]","[5110921101, 5110921103, 5110921101, 5110921102, 5110921104, 5110921101]"
243,"[294311, 7381551]","[5111328104, 5111328101, 5111328103, 5111328102]"
244,"[294314, 7387693]",[5120671102]
245,"[294320, 7381577]","[5111328102, 5111328101]"
246,"[294323, 7387180]","[5120693105, 5120026101, 5120026101, 5120026103, 5120026104, 5120693103, 5120026104]"
247,"[294389, 7353726]","[4750058109, 4750058108, 4750058107, 4750058106, 4750058102, 4750058104, 4750058103, 4750058105]"
248,"[294394, 7378221]","[5110911103, 5110911101, 5110911105, 5110911104, 5110911101, 5110911102, 5110911101]"
249,"[294396, 7387798]","[5121171106, 5121171105]"
250,"[294427, 7389589]",[5120039101]
251,"[294512, 7410734]",[5171173101]
252,"[294552, 7390527]","[5120629102, 5120629103, 5120629102, 5120629101, 5120629101]"
253,"[294581, 7410529]","[5170008101, 5170008105, 5170008104]"
254,"[294604, 7384525]",[5110021103]
255,"[294618, 7410518]","[5171418103, 5171418102, 5171418101, 5171418102, 5171418104]"
256,"[294621, 7372013]","[5110921104, 5110921103, 5110921101]"
257,"[294641, 7410347]",[5170021101]
258,"[294656, 7411501]","[5171203103, 5171203102, 5171203101]"
259,"[294675, 7389388]","[5120311103, 5120311104, 5120311101, 5120311102]"
260,"[294681, 7385831]","[5120041104, 5120041101, 5120041102, 5120041103]"
261,"[294687, 7411840]","[5170044102, 5170044103]"
262,"[294702, 7387153]","[5120633102, 5120633101, 5120633103]"
263,"[294715, 7410503]","[5170028103, 5170028101, 5170028102]"
264,"[294735, 7410561]","[5171418104, 5171418103, 5170030102, 5171418102]"
