,coord,frequentadores
175,"[302004, 7388076]","[5140057101, 5140057101, 5140057101, 5140057101, 5080055101, 5140057101, 5080055101, 5140057101, 5080055101, 5080055101, 5140057101, 5140057101]"
176,"[302006, 7394155]","[5140012104, 5140012104]"
177,"[302027, 7360720]","[4710020103, 4710020103]"
178,"[302048, 7395679]","[5140007102, 5150053103, 5140007102, 5150046102, 5150356102, 5150356102, 5150053103]"
179,"[302050, 7360693]","[4710942104, 4710942105, 4710942104, 4710942106, 4710942106, 4710942105]"
180,"[302051, 7360690]","[4710940104, 4710940104]"
181,"[302051, 7360697]","[4710942103, 4710942103]"
182,"[302052, 7360691]","[4710010103, 4710010104, 4710010104, 4710010103]"
183,"[302054, 7360884]","[4710948104, 4710001103, 4710948104, 4710001103]"
184,"[302078, 7360725]","[4710015105, 4710015105, 4710015104, 4710015104]"
185,"[302080, 7394700]","[5140009102, 5140009102, 5142023103]"
186,"[302083, 7361074]","[4710017106, 4710037106, 4710017107, 4710017107, 4710037107, 4710036106, 4710037107, 4710036106, 4710017106, 4710037106]"
187,"[302088, 7394953]","[5150019103, 5150019103]"
188,"[302117, 7385310]","[5080413104, 5080413104, 5082278102, 5082278102]"
189,"[302157, 7395352]","[5060033101, 5060033101]"
190,"[302166, 7360559]","[4710040102, 4710040102]"
191,"[302168, 7360670]","[4710306104, 4710306104]"
192,"[302233, 7360623]","[4710043103, 4710043103]"
193,"[302257, 7395268]","[5150392103, 5150392103, 5150392103, 5150392103]"
194,"[302266, 7393701]","[5151963104, 5151963104, 5150001103, 5151963104, 5150075104, 5150075104, 5150471103, 5150471103, 5150015103, 5150015103, 5150492109, 5150492109, 5150582104, 5150582104, 5150031104, 5150075102, 5150075102, 5150031105, 5151963104, 5150031105, 5151963104, 5151963104, 5150001103]"
195,"[302270, 7395214]","[5150053104, 5150054104, 5150053104, 5150054104, 5150054103, 5150054103, 5150054104, 5150054104, 5150054103, 5150054103, 5150054103, 5150054104]"
196,"[302275, 7394793]","[5150591102, 5150326103, 5150326103]"
197,"[302277, 7384990]","[5080327105, 5080327105]"
198,"[302278, 7394798]","[5140040103, 5140948103, 5140948103, 5140040103]"
199,"[302294, 7387437]","[5080049104, 5080049104]"
200,"[302305, 7385852]","[5080007103, 5080007103]"
201,"[302306, 7394060]","[5151963103, 5151963103]"
202,"[302316, 7394053]","[5150471104, 5150471104]"
203,"[302336, 7385893]","[5080064102, 5080064102]"
204,"[302361, 7395414]",[4820049102]
205,"[302432, 7360779]","[4710882103, 4710882103, 4710016105, 4710016104, 4710016105, 4710016104]"
206,"[302521, 7392904]","[5141220103, 5141220103]"
207,"[302640, 7387234]",[5081127104]
208,"[302667, 7419106]","[3480006103, 3480006103]"
209,"[302669, 7419131]","[3480032103, 3480005103, 3480005103, 3480032103, 3480020104, 3480020104, 3480001103, 3480001103, 3480028105, 3480023103, 3480023103, 3480028105, 3480030104, 3480030104, 3480031104, 3480031104]"
210,"[302688, 7394248]","[5140952103, 5140952103]"
211,"[302702, 7394642]","[5150356103, 5150356103]"
212,"[302727, 7394661]","[5140050102, 5140050102]"
213,"[302802, 7393732]","[5140057104, 5140960103, 5140057104, 5140960103]"
214,"[302810, 7393751]","[5140935103, 5140935103]"
215,"[302813, 7393754]","[5140006103, 5140006103]"
216,"[302939, 7359798]","[4710010106, 4710010105, 4710010106, 4710010105]"
217,"[302988, 7398585]","[5120041102, 5120041102]"
218,"[303000, 7392788]","[5140042106, 5140042106, 5140042106, 5140042106, 5140057103, 5140042105, 5140042105, 5140042106, 5140069102, 5140069102, 5140069102, 5140069102, 5140057103, 5140042106]"
219,"[303036, 7387737]","[3310033102, 5080110103, 5080091105, 5080091105, 3310033102]"
220,"[303130, 7395287]","[5141629103, 5140018104, 5140018104, 5141629103]"
221,"[303199, 7394485]","[5140304103, 5140304103]"
222,"[303203, 7406030]","[5170015103, 5170015103]"
223,"[303224, 7396265]","[5140018105, 5140018105]"
224,"[303305, 7386468]","[5080906103, 5080906103]"
225,"[303382, 7364536]","[4710310103, 4710002103, 4710002103, 4710002104, 4710310103, 4710012103, 4710002104, 4710012103]"
226,"[303502, 7395855]","[5140067103, 5140067103, 5140067103, 5140067104, 5140067104, 5141629104, 5141629104, 5140067103]"
227,"[303529, 7388005]","[5080327102, 5080327102, 5080327102, 5080327103, 5080327103, 5080327102, 5083419105, 5083419105, 5080064103, 5080064103, 5080064103]"
228,"[303558, 7387981]","[5080118103, 5080118103, 5080062102, 5080062102]"
229,"[303564, 7388948]","[3310946105, 3310946105, 5130495104, 5070819103, 5130495104, 5070819103]"
230,"[303584, 7393132]",[5140960104]
231,"[303606, 7388107]","[5080039102, 5080039102]"
232,"[303647, 7387922]","[5082291104, 5082291104, 5080075103, 5080075103, 5082293104, 5082259103, 5082293104, 5080075103, 5080075103, 5082259103]"
233,"[303648, 7388962]","[4930303104, 4930303104]"
234,"[303661, 7393006]","[5140053105, 5140053105]"
235,"[303697, 7388087]","[5080852102, 5080852101]"
236,"[303736, 7397344]","[5030651103, 5030651103, 5030651103, 5030651103]"
237,"[303757, 7387957]","[5082259104, 5082259104, 5082253104, 5082253104]"
238,"[303769, 7395700]","[5140054102, 5140054102, 5140054102]"
239,"[303770, 7388028]","[5081376105, 5081376105]"
240,"[303783, 7397413]","[5030633106, 5030633106]"
241,"[303790, 7397434]","[5030651104, 5030651104, 5030627103, 5030631103, 5030631103, 5030635103, 5030651104, 5030627103, 5030651104, 5030633105, 5030630104, 5030651104, 5030651104, 5030633105, 5030635103, 5030655105, 5030630104, 5030655105]"
242,"[303798, 7392454]","[5080036103, 5140042108, 5140042108, 5140042107, 5140042107, 5080036103]"
243,"[303803, 7397354]","[5030651105, 5030655106, 5030651105, 5030646104, 5030655106, 5030663103, 5030646104]"
244,"[303810, 7418648]","[3480021103, 3480021103]"
245,"[303811, 7418647]","[3480023104, 3480023104, 3480023105]"
246,"[303838, 7395785]","[5142361102, 5142361102]"
247,"[303858, 7395899]","[5140003103, 5140003103, 5140007103, 5140930103, 5140007103]"
248,"[303886, 7393313]","[5140063103, 5140063103]"
249,"[303967, 7394933]","[5140023103, 5140023104, 5140023104, 5140023103]"
250,"[304066, 7388282]","[5130513104, 5060778104, 5060778103, 5060778103, 5060778104, 5130513104, 5082258102, 5082258102]"
251,"[304088, 7396455]",[5040011103]
252,"[304092, 7388314]","[4880050103, 4880050104, 5082367103, 4880050103, 5082367103, 4880050104, 4880050105, 4880050105, 5083460102, 5083460102, 4880050104, 4880050103, 4880050105]"
253,"[304134, 7395796]","[5140976103, 5140976103]"
254,"[304161, 7391657]","[5080022103, 5080022103]"
255,"[304209, 7388274]","[5070017103, 5070017103, 5070017103]"
256,"[304221, 7389015]","[5080059103, 5080059103]"
257,"[304275, 7390978]","[5080013103, 5080323103, 5080013103, 5080323103]"
258,"[304302, 7388159]","[5130024102, 5130024104, 5130024104, 5130024102]"
259,"[304337, 7388892]","[5130026104, 5130026104]"
260,"[304338, 7388984]","[5070301104, 5070301104]"
261,"[304345, 7388949]","[5130499103, 5080031103, 5080031103]"
262,"[304362, 7391065]","[5080013102, 5080013102]"
263,"[304362, 7396363]","[5040011104, 5040011104, 5040011105, 5040011105]"
264,"[304385, 7389095]","[5070301105, 5070301105]"
265,"[304470, 7387285]","[5080062103, 5080062103]"
266,"[304548, 7388011]","[5082548101, 5082548101]"
267,"[304569, 7378835]","[4700012103, 4700012103, 4670043108, 4670043108, 4700012103, 4700012103]"
268,"[304618, 7389051]",[5081697103]
269,"[304647, 7378984]","[5090311103, 5090311103]"
