,coord,frequentadores
158,"[294941, 7411138]","[5170044103, 5170044103]"
159,"[294951, 7411068]","[5170033102, 5170033102]"
160,"[294974, 7351588]","[4750018101, 4750018101]"
161,"[294991, 7390690]","[5120321101, 5120321104]"
162,"[294997, 7410573]",[5170304102]
163,"[295020, 7388059]","[5120321102, 5120321102]"
164,"[295033, 7386274]","[5120041104, 5120041104]"
165,"[295055, 7387628]","[5120595104, 5120595104]"
166,"[295064, 7387103]",[5120026102]
167,"[295070, 7387597]","[5121146101, 5121146101]"
168,"[295073, 7411303]","[5170419101, 5170419102]"
169,"[295077, 7388531]","[5120022102, 5120022102]"
170,"[295150, 7381390]","[5082272101, 5082272101]"
171,"[295198, 7379614]","[5111339101, 5111339101]"
172,"[295252, 7381756]","[5070024101, 5070024101]"
173,"[295296, 7411001]","[5170515102, 5170515102, 5170515102, 5170515102]"
174,"[295299, 7410966]","[5170052103, 5170052101]"
175,"[295304, 7394985]","[5150018102, 5150018102]"
176,"[295312, 7410907]",[5170048101]
177,"[295319, 7411011]",[5171409101]
178,"[295327, 7410920]","[5171599101, 5171599101]"
179,"[295364, 7386390]","[5121660101, 5121660101, 5121660101]"
180,"[295374, 7411188]","[5170052102, 5170052102]"
181,"[295399, 7386675]","[5121913103, 5121913101, 5121913103, 5121913101]"
182,"[295401, 7381052]",[5110902101]
183,"[295405, 7411139]","[5160016101, 5160016101]"
184,"[295415, 7410915]","[5171599102, 5171599102]"
185,"[295437, 7411149]","[5170388102, 5170388102]"
186,"[295458, 7411146]","[5171172101, 5171172101, 5171172101, 5171172101]"
187,"[295460, 7382015]","[5121176103, 5121176103, 5121176103, 5121176103, 5121176103]"
188,"[295477, 7386824]","[5121599101, 5121599101]"
189,"[295482, 7388047]","[2471105102, 2471105102]"
190,"[295516, 7386819]",[5120578101]
191,"[295531, 7410867]","[5170022102, 5170022102]"
192,"[295606, 7390266]","[5090311102, 5090311102]"
193,"[295640, 7386919]","[5121171103, 5121171103, 5121171103, 5121171103]"
194,"[295690, 7390308]","[5121148103, 5121148103]"
195,"[295719, 7383126]","[5060054101, 5060054101, 5060054101, 5060054101]"
196,"[295725, 7352206]",[4750059102]
197,"[295765, 7394329]",[5130317102]
198,"[295766, 7383274]","[5121635101, 5121635101]"
199,"[295827, 7387670]","[5121599102, 5121599102]"
