,coord,frequentadores
110,"[294702, 7387153]","[5120633101, 5120633101, 5120633103, 5120633101, 5120633102, 5120633102, 5120633103, 5120633101]"
111,"[294715, 7410503]","[5170028102, 5170028102, 5170028103, 5170028103, 5170028104, 5170028101, 5170028101]"
112,"[294745, 7410566]","[5170030101, 5170030102, 5170030102]"
113,"[294806, 7410699]","[5171174101, 5171174102, 5171174102, 5171174103, 5171174104]"
114,"[294849, 7411592]","[5170333103, 5170333103, 5170333102, 5170333102, 5170333101, 5170333101]"
115,"[294878, 7411263]","[5170034103, 5170034102, 5170034101]"
116,"[294963, 7410482]","[5170015102, 5170015101, 5170015101, 5170015103, 5170015103]"
117,"[294991, 7390690]","[5120321102, 5120321101, 5120321104, 5120321103, 5120321102]"
118,"[294997, 7410573]","[5170304103, 5170304103, 5170304102, 5170304101]"
119,"[295000, 7410901]","[5170315101, 5170315102, 5170315103, 5170315103, 5170315104, 5170315104]"
120,"[295036, 7411253]","[5170043101, 5170043101, 5170043103, 5170043103, 5170043102]"
121,"[295048, 7410850]","[5170309102, 5170309103, 5170309104, 5170309104, 5170309101, 5170309101]"
122,"[295064, 7387103]","[5120026104, 5120026104, 5120026104, 5120026104, 5120026101, 5120026101, 5120026104, 5120026101, 5120026103, 5120026103, 5120026102, 5120026101, 5120026101]"
123,"[295073, 7411303]","[5170433107, 5170433106, 5170433105, 5170433105, 5170433104, 5170433104, 5170433106, 5170419102, 5170433101, 5170433102, 5170433102, 5170419101, 5170433103, 5170433103, 5170433107, 5170419103, 5170419104, 5170419104]"
124,"[295079, 7395436]","[5150018102, 5150018101, 5150018101, 5150018102]"
125,"[295120, 7390070]","[5120005107, 5120005107, 5120005106, 5120005105, 5120005104, 5120005103, 5120005103, 5120005101, 5120005102, 5120005102]"
126,"[295123, 7380049]","[5111336101, 5111336101, 5111336102, 5111336102, 5111336102, 5111336103, 5111336103, 5111336104, 5111336105, 5111336106, 5111336106, 5111336104, 5111336105]"
127,"[295198, 7379614]","[5111339102, 5111339103, 5111339101, 5111339101, 5111339103, 5111339104]"
128,"[295224, 7387903]","[5120628102, 5120628103, 5120628103, 5120628102, 5120628101]"
129,"[295243, 7411456]","[5171599102, 5171599102, 5171599101, 5171599101]"
130,"[295275, 7411259]","[5171307102, 5171307101, 5171307101, 5171307102, 5171307103]"
131,"[295299, 7410966]","[5170052104, 5170052103, 5170052102, 5170052102, 5170052101, 5170052104]"
132,"[295312, 7410907]",[5170048101]
133,"[295319, 7411011]","[5171409102, 5171409102, 5171409104, 5171409103, 5171409102, 5171409104, 5171409102, 5171409101, 5171409102, 5171409102]"
134,"[295364, 7386390]","[5121660104, 5121660102, 5121660103, 5121660103, 5121660101, 5121660104, 5121660101, 5121660105, 5121660101, 5121660105]"
135,"[295377, 7386655]","[5121663102, 5121663101, 5121663103, 5121663104, 5121663103, 5121663101, 5121663102]"
136,"[295380, 7388166]","[5120027101, 5120027103, 5120027103, 5120027102, 5120027102, 5120027101, 5120027101, 5120027101]"
137,"[295384, 7410910]","[5170051102, 5170051101]"
138,"[295399, 7386675]","[5121913104, 5121913105, 5121913104, 5121913101, 5121913101, 5121913102, 5121913103, 5121913103]"
139,"[295401, 7381052]","[5110902102, 5110902101, 5110902102, 5110902102]"
140,"[295412, 7410905]","[5170515102, 5170515104, 5170515102, 5170515101, 5170515101, 5170515103, 5170515102, 5170515102]"
141,"[295419, 7410923]","[5170022102, 5170022102, 5170022101, 5170022101]"
142,"[295445, 7393442]","[5130310101, 5130310101]"
143,"[295456, 7392590]","[5130315101, 5130315101, 5130315102, 5130315102, 5130318101, 5130318102, 5130315101, 5130315101]"
144,"[295459, 7386668]","[5121914101, 5121914104, 5121914103, 5121914103, 5121914102, 5121914102, 5121914102, 5121914102, 5121914101]"
145,"[295496, 7386451]","[5121156101, 5121156104, 5121156101, 5121156103, 5121156102, 5121156103]"
146,"[295503, 7411065]","[5170050103, 5170050102, 5170050101]"
147,"[295507, 7386290]","[5121004101, 5121004102, 5121004102, 5121004103, 5121004103, 5121004104, 5121004104, 5121004101]"
148,"[295515, 7386839]","[5121599102, 5121599101, 5121599103, 5121599101, 5121599102, 5121599104, 5121599103]"
149,"[295516, 7386819]","[5120578104, 5120578102, 5120578102, 5120578103, 5120578103, 5120578103, 5120578104, 5120578102, 5120578104, 5120578101]"
150,"[295565, 7387105]","[5120693102, 5120693101, 5120693101, 5120693101, 5120693102, 5120693103, 5120693103, 5120693101, 5120693104, 5120693105, 5120693105, 5120693104]"
151,"[295590, 7383034]","[5120002104, 5120002103, 5120002103, 5120002101, 5120002102, 5120002102, 5120002104, 5120002101]"
152,"[295614, 7386509]","[5120035104, 5120035102, 5120035101, 5120035101, 5120035103, 5120035101, 5120035102, 5120035101, 5120035103]"
153,"[295630, 7387596]","[5120022104, 5120022103, 5120022102, 5120022102, 5120022101, 5120022101, 5120022101, 5120022101]"
154,"[295686, 7388482]","[5120671101, 5120671101, 5120671102, 5120671102]"
155,"[295697, 7386721]","[5120030102, 5120030102, 5120030103, 5120030103, 5120030101, 5120030101, 5120030101, 5120030101, 5120030102, 5120030102, 5120030101]"
156,"[295725, 7352206]","[4750059101, 4750059102, 4750059103, 4750059104, 4750059104, 4750059105, 4750059105]"
157,"[295834, 7385060]","[5121635101, 5121635101]"
