,coord,frequentadores
221,"[360358, 7395960]","[3410498102, 3940302101, 3930343101]"
222,"[360396, 7402751]",[3993741101]
223,"[362319, 7402077]","[3960329101, 3961918102, 3970061101, 3980547101]"
224,"[362879, 7397689]","[3940027101, 3940308102]"
225,"[363950, 7397690]","[3940049101, 3940046106]"
226,"[366552, 7396746]","[4090396102, 4010701101, 4000105103, 3990800101]"
227,"[366676, 7396809]","[4090022101, 4013017103, 4000015101]"
228,"[377639, 7398201]",[4051247103]
229,"[377664, 7398033]",[4100712101]
230,"[379049, 7398854]",[4120051103]
